step,seconds,tflops_per_device,tokens_per_sec_device,loss,perplexity
0,1.89,7.098,2166.9,12.043,169847.562
1,0.27,49.781,15196.429,12.043,169847.562
2,0.01,1303.84,398017.685,12.026,166971.656
3,0.203,65.942,20129.94,11.956,155700.391
4,0.21,63.937,19517.774,11.732,124441.836
5,0.207,64.795,19779.795,11.461,94933.789
6,0.21,63.962,19525.496,11.183,71895.188
7,0.208,64.356,19645.838,10.914,54929.93
8,0.208,64.404,19660.454,10.651,42254.09
9,0.209,64.077,19560.556,10.394,32653.971
10,0.209,64.27,19619.489,10.137,25267.941
11,0.207,64.776,19773.875,9.882,19566.754
12,0.208,64.469,19680.102,9.628,15181.466
13,0.209,64.325,19636.231,9.374,11783.482
14,0.209,64.259,19616.201,9.125,9179.957
15,0.208,64.543,19702.917,8.879,7179.978
16,0.209,64.121,19574.017,8.64,5653.68
17,0.208,64.592,19717.618,8.407,4477.606
18,0.209,64.067,19557.567,8.179,3564.09
19,0.209,64.33,19637.643,7.958,2859.556
20,0.208,64.645,19733.768,7.747,2313.521
21,0.209,64.242,19610.941,7.545,1891.435
22,0.209,64.207,19600.149,7.358,1568.923
23,0.209,64.305,19630.114,7.176,1307.756
24,0.208,64.399,19658.85,6.999,1095.714
25,0.208,64.551,19705.192,6.828,923.594
26,0.209,64.316,19633.596,6.664,783.634
27,0.209,64.145,19581.409,6.509,671.42
28,0.209,64.239,19609.908,6.367,582.49
29,0.208,64.502,19690.225,6.249,517.744
30,0.209,64.105,19569.06,6.175,480.738
31,0.209,64.315,19633.031,6.114,452.172
32,0.208,64.544,19703.107,6.057,426.893
33,0.208,64.591,19717.428,6.0,403.625
34,0.209,64.235,19608.782,5.95,383.769
35,0.208,64.491,19686.818,5.902,365.867
36,0.209,64.258,19615.919,5.857,349.75
37,0.209,64.313,19632.655,5.815,335.342
38,0.208,64.358,19646.309,5.781,324.192
39,0.209,64.121,19573.923,5.767,319.609
40,0.207,64.711,19754.134,5.752,314.721
41,0.209,64.23,19607.092,5.738,310.553
42,0.208,64.418,19664.513,5.726,306.675
43,0.209,64.328,19637.267,5.714,303.014
44,0.208,64.401,19659.416,5.703,299.62
45,0.209,64.336,19639.432,5.695,297.288
46,0.209,64.239,19609.908,5.691,296.115
47,0.208,64.449,19674.147,5.687,294.868
48,0.209,64.109,19570.276,5.683,293.906
49,0.21,63.891,19503.647,5.679,292.798
